項目名,名称
820000276,３２　中心静脈栄養（広汎性腹膜炎、腸閉塞、難治性嘔吐、難治性下痢、活動性の消化管出血、炎症性腸疾患、短腸症候群、消化管瘻若しくは急性膵炎を有する患者以外を対象として、中心静脈栄養を開始した日から３０日を超えて実施するものに限る。）
820000277,３３　人工腎臓、持続緩徐式血液濾過、腹膜灌流又は血漿交換療法
820000278,３４　肺炎に対する治療
820000279,３５　褥瘡に対する治療（皮膚層の部分的喪失が認められる場合又は褥瘡が２ヵ所以上に認められる場合に限る。）
820000280,３６　末梢循環障害による下肢末端の開放創に対する治療
820000281,３７　うつ症状に対する治療
820000282,３８　１日８回以上の喀痰吸引
820000283,３９　気管切開又は気管内挿管（発熱を伴う状態を除く。）
820000284,４０　創傷（手術創や感染創を含む。）、皮膚潰瘍又は下腿若しくは足部の蜂巣炎、膿等の感染症に対する治療
820000285,４１　酸素療法（１８を除く。）
820000287,８１　脱水に対する治療
820000288,８２　頻回の嘔吐に対する治療
820000289,８４　経鼻胃管や胃瘻等の経腸栄養
820000290,８５　気管切開又は気管内挿管
820000291,８６　医師及び看護職員により、常時、監視及び管理を実施している状態
820000292,８７　中心静脈カテーテル関連血流感染症に対しての治療
820000293,９１　身体的拘束を実施している
820000294,１４　中心静脈栄養
820000295,８３　発熱がある状態
820000296,２８　基本診療料の施設基準等の別表第五の三の三の患者
820000297,３１　８６に該当、かつ、１～４１（１３を除く。）に該当しない場合
820100001,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院
820100002,イ　往診等の後に薬剤のみを取りに来院
820100003,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院
820100005,月の途中まで乳幼児
820100025,ア　麻疹等に感染しており、他の患者への感染の危険性が高い患者
820100026,イ　易感染性により、感染症罹患の危険性が高い患者
820100027,出生時体重　１，５００ｇ以上
820100028,出生時体重　１，０００ｇ以上１，５００ｇ未満
820100029,出生時体重　１，０００ｇ未満
820100030,イ　通算対象入院料算定患者以外の患者
820100031,ロ　難病患者等入院診療加算を算定する患者
820100032,ハ　重症者等療養環境特別加算を算定する患者
820100033,ニ　厚生労働省告示に規定する難病患者等
820100034,ホ　悪性新生物に対する腫瘍用薬を投与している状態にある患者
820100035,ヘ　悪性新生物に対する放射線治療を実施している状態にある患者
820100036,ト　ドレーン法等を実施している状態にある患者
820100037,チ　人工呼吸器を使用している状態にある患者
820100038,リ　人工腎臓又は血漿交換療法を実施している状態にある患者
820100039,ヌ　全身麻酔その他これに準ずる麻酔を用いる手術患者
820100040,ル　１５歳未満の患者
820100041,ヲ　小児慢性特定疾病児童等患者又は育成医療給付患者
820100042,ワ　ロからヌまでに掲げる状態に準ずる状態にある患者
820100043,処置室で死亡
820100044,手術室で死亡
820100045,処置室・手術室以外で死亡
820100046,（イ）　心疾患患者でジギタリス製剤を投与
820100047,（ロ）　てんかん患者で抗てんかん剤を投与
820100054,（リ）　留意事項通知に規定する患者でシクロスポリンを投与
820100062,（レ）　リンパ脈管筋腫症の患者でシロリムス製剤を投与
820100063,（ソ）　腎細胞癌の患者で抗悪性腫瘍剤としてスニチニブを投与
820100064,ア　留意事項通知に規定する患者でＩＣＤ適否確定までの間使用
820100065,イ　留意事項通知に規定する患者でＩＣＤ植え込みまでの間使用
820100066,ア　出血性合併症患者の退院月翌月の月２回目以後の末梢血液一般検査
820100067,イ　パルス療法施行時の月２回目以後のカルシウム等の検査
820100068,ウ　副甲状腺切除を行った患者の月２回目以後のカルシウム等の検査
820100069,エ　シナカルセト塩酸塩投与患者の月２回目以後のカルシウム等の検査
820100070,オ　透析アミロイド症の月２回目以後のβ２－マイクログロブリン検査
820100071,カ　デフェロキサミンメシル酸塩投与患者のアルミニウムの検査
820100072,ア　その診療科の医師でなければ困難な診療
820100073,イ　既に診療した傷病等とは明らかに異なる傷病に対する診療
820100074,末期の悪性腫瘍
820100075,多発性硬化症
820100076,重症筋無力症
820100077,スモン
820100078,筋萎縮性側索硬化症
820100079,脊髄小脳変性症
820100080,ハンチントン病
820100081,進行性筋ジストロフィー症
820100082,パーキンソン病関連疾患（留意事項通知に規定するもの）
820100083,多系統萎縮症（留意事項通知に規定するもの）
820100084,プリオン病
820100085,亜急性硬化性全脳炎
820100086,ライソゾーム病
820100087,副腎白質ジストロフィー
820100088,脊髄性筋萎縮症
820100089,球脊髄性筋萎縮症
820100090,慢性炎症性脱髄性多発神経炎
820100091,後天性免疫不全症候群
820100092,頸髄損傷の患者
820100093,人工呼吸器を使用している状態の患者
820100094,ユニット数が３以下の認知症対応型共同生活介護事業所
820100095,在宅医学管理を行う患者数が当該建築物の戸数の１０％以下
820100096,当該建築物の戸数が２０戸未満で在宅医学管理を行う患者が２人以下
820100097,在宅で死亡
820100098,在宅以外で死亡
820100099,急性増悪
820100100,終末期
820100101,退院直後
820100103,同居する同一世帯の患者が２人以上
820100104,管理指導を行う患者数が当該建築物の戸数の１０％以下
820100105,当該建築物の戸数が２０戸未満で管理指導を行う患者が２人以下
820100106,指導料を算定する者の数が当該建築物の戸数の１０％以下
820100107,当該建築物の戸数が２０戸未満で指導料を算定する者が２人以下
820100110,ア　在宅自己連続携行式腹膜灌流の導入期にあるもの
820100111,イ　糖尿病で血糖コントロールが困難であるもの
820100112,ウ　腹膜炎の疑い、トンネル感染及び出口感染のあるもの
820100113,エ　腹膜の透析効率及び除水効率が著しく低下しているもの
820100114,オ　その他医師が特に必要と認めるもの
820100115,ア　在宅血液透析の導入期にあるもの
820100116,イ　合併症の管理が必要なもの
820100117,ウ　その他医師が特に必要と認めるもの
820100120,ア　糖尿病等で１日概ね４回以上自己注射が必要
820100121,イ　血友病で自己注射が必要
820100122,当月分
820100123,翌々月分
820100124,翌月分
820100125,前月分
820100126,前々月分
820100127,ア　留意事項通知アの慢性心不全患者にＡＳＶ療法を実施した場合
820100128,イ　留意事項通知イの心不全患者にＡＳＶ療法を実施した場合
820100129,引き続き入院
820100137,輸血歴あり
820100138,妊娠歴あり
820100139,ア　臓器移植後の患者
820100140,イ　造血幹細胞移植後の患者で留意事項通知に規定するもの
820100141,ウ　留意事項通知に規定する抗胸腺細胞グロブリンが投与された患者
820100142,エ　移植後リンパ増殖性疾患患者（経過観察目的）
820100143,オ　悪性リンパ腫又は白血病の患者（経過観察目的）
820100144,カ　再生不良性貧血の患者で抗胸腺細胞グロブリンが投与されたもの
820100145,キ　慢性活動性ＥＢウイルス感染症等の患者
820100146,ＣＩＮ１
820100147,ＣＩＮ２
820100148,外来にて請求済み
820100149,入院にて請求済み
820100150,その他（労災、他保険等にて請求済み）
820100151,ア　留意事項通知に規定する１型糖尿病患者（検査）
820100152,イ　留意事項通知に規定する２型糖尿病患者（検査）
820100153,（１）　留意事項通知に規定する患者に対する黄斑疾患の診断目的
820100154,（２）　黄斑ジストロフィーの診断目的
820100155,（３）　網膜手術の前後
820100156,ア　大腸ファイバースコピーでは回盲部まで到達できなかった患者
820100157,イ　器質的異常により大腸ファイバースコピーが困難と判断された患者
820100158,地域連携診療計画加算の算定患者
820100159,ベーチェット病
820100160,全身性エリテマトーデス
820100161,強皮症、皮膚筋炎及び多発性筋炎
820100162,結節性動脈周囲炎
820100163,ビュルガー病
820100164,悪性関節リウマチ
820100165,パーキンソン病関連疾患
820100166,アミロイドーシス
820100167,後縦靭帯骨化症
820100168,モヤモヤ病（ウィリス動脈輪閉塞症）
820100169,ウェゲナー肉芽腫症
820100170,広範脊柱管狭窄症
820100171,特発性大腿骨頭壊死症
820100172,混合性結合組織病
820100173,ギラン・バレー症候群
820100174,黄色靭帯骨化症
820100175,シェーグレン症候群
820100176,成人発症スチル病
820100177,関節リウマチ
820100178,脳性麻痺の患者
820100179,胎生期若しくは乳幼児期に生じた脳又は脊髄の奇形及び障害の患者
820100180,顎・口腔の先天異常の患者
820100181,先天性の体幹四肢の奇形又は変形の患者
820100182,先天性神経代謝異常症、大脳白質変性症の患者
820100183,先天性又は進行性の神経筋疾患の患者
820100184,神経障害による麻痺及び後遺症の患者
820100185,言語障害、聴覚障害又は認知障害を伴う自閉症等の発達障害の患者
820100193,５　進行がん等の患者で、在宅復帰を目的としたリハビリが必要なもの
820100194,認知症高齢者の日常生活自立度　１
820100195,認知症高齢者の日常生活自立度　２
820100196,認知症高齢者の日常生活自立度　２ａ
820100197,認知症高齢者の日常生活自立度　２ｂ
820100198,認知症高齢者の日常生活自立度　３
820100199,認知症高齢者の日常生活自立度　３ａ
820100200,認知症高齢者の日常生活自立度　３ｂ
820100201,認知症高齢者の日常生活自立度　４
820100202,認知症高齢者の日常生活自立度　Ｍ
820100203,（イ）　精神疾患患者が他医療機関で既に向精神薬多剤投与の場合
820100204,（ロ）　向精神薬投与患者の既投与薬と新導入薬の一時的併用の場合
820100205,（ハ）　臨時に投与した場合
820100206,（ニ）　やむを得ず投与を行う場合（抗うつ薬又は抗精神病薬に限る）
820100207,措置入院
820100208,緊急措置入院
820100209,医療保護入院
820100210,応急入院
820100211,ア　急性腎不全の患者
820100212,イ　透析導入期（１月に限る。）の患者
820100213,ウ　血液濾過又は血液透析濾過を実施
820100214,エ　特別な管理が必要（イ　進行性眼底出血）
820100215,エ　特別な管理が必要（ロ　重篤な急性出血性合併症）
820100216,エ　特別な管理が必要（ハ　ヘパリン起因性血小板減少症）
820100217,エ　特別な管理が必要（ニ　播種性血管内凝固症候群）
820100218,エ　特別な管理が必要（ホ　敗血症）
820100219,エ　特別な管理が必要（ヘ　急性膵炎）
820100220,エ　特別な管理が必要（ト　重篤な急性肝不全）
820100221,エ　特別な管理が必要（チ　注射による化学療法中の悪性腫瘍）
820100222,エ　特別な管理が必要（リ　自己免疫疾患の活動性が高い状態）
820100223,エ　特別な管理が必要（ヌ　麻酔による手術を実施した状態）
820100224,ア　障害者基本法にいう障害者で留意事項通知に規定する者
820100225,イ　精神保健福祉法の規定によって医療を受ける者
820100226,ウ　指定難病等に罹患している者で留意事項通知に規定するもの
820100227,エ　留意事項通知に規定する糖尿病の患者
820100228,オ　運動麻痺を伴う脳血管疾患患者
820100229,カ　認知症患者
820100230,キ　常時低血圧症（収縮期血圧が９０ｍｍＨｇ以下）の者
820100231,ク　透析アミロイド症で手根管症候群や運動機能障害を呈する者
820100232,ケ　出血性消化器病変を有する者
820100233,コ　骨折を伴う二次性副甲状腺機能亢進症の患者
820100234,サ　重症感染症に合併しているために入院中の患者
820100235,シ　末期癌に合併しているために入院中の患者
820100236,ス　入院中の患者であって腹水・胸水が貯留しているもの
820100237,セ　妊婦（妊娠中期以降）
820100238,ソ　うっ血性心不全（ＮＹＨＡ３度以上）
820100239,タ　１２歳未満の小児
820100240,チ　人工呼吸を実施中の患者
820100241,ツ　結核菌を排菌中の患者
820100242,重症度　１度
820100243,重症度　２度
820100244,障害老人の日常生活自立度（寝たきり度）　ランクＢ
820100245,障害老人の日常生活自立度（寝たきり度）　ランクＣ
820100246,ア　留意事項通知に規定する一次再建
820100247,イ　留意事項通知に規定する二次再建
820100248,ア　留意事項通知に規定する一次一期的再建
820100249,イ　留意事項通知に規定する一次二期的再建
820100250,ウ　留意事項通知に規定する二次再建
820100254,開腹による胃瘻造設術
820100255,経皮的内視鏡下胃瘻造設術
820100256,腹腔鏡下胃瘻造設術
820100257,ア　最大径が２ｃｍ以上の早期癌
820100258,イ　最大径が５ｍｍから１ｃｍまでの神経内分泌腫瘍
820100259,ウ　最大径が２ｃｍ未満の線維化を伴う早期癌
820100260,ア　心不全（ＮＹＨＡ３度以上のものに限る。）の患者
820100261,イ　狭心症（ＣＣＳ分類３度以上のものに限る。）の患者
820100262,ウ　心筋梗塞（発症後３月以内のものに限る。）の患者
820100263,エ　大動脈閉鎖不全等（いずれも中等度以上のものに限る。）の患者
820100264,オ　留意事項通知に規定する大動脈弁狭窄又は僧帽弁狭窄の患者
820100265,カ　植込型ペースメーカー又は植込型除細動器を使用している患者
820100266,キ　留意事項通知に規定する先天性心疾患の患者
820100267,ク　留意事項通知に規定する肺動脈性肺高血圧症の患者
820100268,ケ　留意事項通知に規定する呼吸不全の患者
820100269,コ　留意事項通知に規定する換気障害の患者
820100270,サ　留意事項通知に規定する気管支喘息の患者
820100271,シ　留意事項通知に規定する糖尿病の患者
820100272,ス　留意事項通知に規定する腎不全の患者
820100273,セ　肝不全（Ｃｈｉｌｄ－Ｐｕｇｈ分類Ｂ以上のものに限る。）の患者
820100274,ソ　貧血（Ｈｂ６．０ｇ／ｄＬ未満のものに限る。）の患者
820100275,タ　血液凝固能低下（ＰＴ－ＩＮＲ２．０以上のものに限る。）の患者
820100276,チ　ＤＩＣの患者
820100277,ツ　血小板減少（血小板５万／ｕＬ未満のものに限る。）の患者
820100278,テ　敗血症（ＳＩＲＳを伴うものに限る。）の患者
820100279,ト　留意事項通知に規定するショック状態の患者
820100280,ナ　完全脊髄損傷（第５胸椎より高位のものに限る。）の患者
820100281,ニ　心肺補助を行っている患者
820100282,ヌ　人工呼吸を行っている患者
820100283,ネ　透析を行っている患者
820100284,ノ　大動脈内バルーンパンピングを行っている患者
820100285,ハ　ＢＭＩ３５以上の患者
820100286,悪性リンパ腫が疑われる患者
820100287,悪性中皮腫が疑われる患者
820100288,肺悪性腫瘍（腺癌、扁平上皮癌）が疑われる患者
820100289,消化管間質腫瘍（ＧＩＳＴ）が疑われる患者
820100290,慢性腎炎が疑われる患者
820100291,内分泌腫瘍が疑われる患者
820100292,軟部腫瘍が疑われる患者
820100293,皮膚の血管炎が疑われる患者
820100294,水疱症（天疱瘡、類天疱瘡等）が疑われる患者
820100295,悪性黒色腫が疑われる患者
820100296,筋ジストロフィーが疑われる患者
820100297,筋炎が疑われる患者
820100298,介護療養型老健施設入居者
820100299,多系統萎縮症
820100300,健康診断の結果に基づき治療開始
820100303,１回目（退院時共同指導料１）
820100304,訪問歯科衛生指導を行う患者数が当該建築物の戸数の１０％以下
820100305,当該建築物戸数が２０戸未満で訪衛指を算定するものが２人以下
820100306,居宅療養管理指導費
820100307,介護予防居宅療養管理指導費
820100308,ＭＭＧ
820100309,ＣｈＢ
820100310,ＧｏＡ
820100311,Ｐｔｇ
820100314,ロ　ＰＡＰを装着する場合
820100315,ハ　広範囲顎骨支持型装置埋入手術の（５）に準じる場合
820100316,ニ　左右第二大臼歯を含む臼歯が４歯以上欠損している場合
820100317,ホ　口蓋補綴、顎補綴を装着する場合
820100318,口腔機能の低下が疑われる場合
820100319,ＰＡＰを装着する場合または予定している場合
820100320,広範囲顎骨支持型装置埋入手術の対象となる場合
820100321,口蓋補綴、顎補綴を装着する場合
820100322,画像診断後、引き続き入院
820100329,暫間根充
820100330,暫間根充後の根充
820100331,イ　歯周外科手術を実施した場合
820100332,ロ　全身的な疾患の状態により歯周病の病状に大きく影響を与える場合
820100333,ニ　全身的な疾患の状態により歯周外科手術が実施できない場合
820100334,ホ　侵襲性歯周炎の場合
820100335,歯周外科手術の予定あり
820100336,歯周外科手術の予定なし
820100337,歯周外科手術未定
820100339,イ　顎関節治療用装置
820100340,ロ　歯ぎしりに対する口腔内装置
820100341,ハ　顎間固定用に歯科用ベースプレートを用いた床
820100342,ニ　出血創の保護と圧迫止血を目的としてレジン等で製作した床
820100343,ホ　手術に当たり製作したサージカルガイドプレート
820100344,ヘ　腫瘍等による顎骨切除後、手術創（開放創）の保護等を目的として製作するオブチュレーター
820100345,ト　気管内挿管時の歯の保護等を目的として製作した口腔内装置
820100346,チ　不随意運動等による咬傷を繰り返す患者に対して、口腔粘膜等の保護を目的として製作する口腔内装置
820100347,リ　放射線治療に用いる口腔内装置
820100348,妊娠中（歯清）
820100349,完全抜歯が困難となりやむを得ず抜歯を中止
820100350,患者の急変によりやむを得ず抜歯を中止
820100351,顎炎又は顎骨骨髄炎等の手術としての骨の開さく等
820100353,永久歯代行
820100354,同一歯の複数窩洞に対する歯冠修復
820100355,事前承認
820100356,残根上義歯
820100357,人工歯前月（以前）請求済
820100358,欠損歯数と補綴歯数の不一致
820100359,ニ　認知症を有する患者等であって、有床義歯が使用できない場合
820100361,簡単
820100362,困難
820100363,著しく困難
820100364,複雑
820100365,アンカースクリュー脱落後の再埋入の場合
820100366,治療途中で新たにアンカースクリューを追加で植立する場合
820100367,薬剤調製料（内服薬）：配合不適等調剤技術上の必要性から個別に調剤した場合
820100368,薬剤調製料（内服薬）：内服用固形剤（錠剤、カプセル剤、散剤等）と内服用液剤の場合
820100369,薬剤調製料（内服薬）：内服錠、チュアブル錠及び舌下錠等のように服用方法が異なる場合
820100371,訪問薬剤管理指導を行う患者数が当該建築物の戸数の１０％以下
820100372,当該建築物戸数が２０戸未満で訪問薬剤管理指導を行う患者が２人以下
820100373,後発医薬品を調剤しなかった理由：患者の意向
820100374,後発医薬品を調剤しなかった理由：保険薬局の備蓄
820100375,後発医薬品を調剤しなかった理由：後発医薬品なし
820100376,後発医薬品を調剤しなかった理由：その他
820100377,処方箋記載により確認
820100378,疑義照会により確認
820100379,脳卒中等の術後早期に口腔機能管理の依頼
820100380,（５）イ　容体が急変し、やむを得ず治療中断
820100381,（５）ロ　著しく歯科診療が困難な者又は要介護３以上に準じる場合
820100382,（９）容体が急変し、やむを得ず治療中断
820100384,イ　腫瘍、顎骨嚢胞等による顎骨切除に対する口蓋補綴装置又は顎補綴装置
820100385,ロ　オクルーザルランプを付与した口腔内装置
820100386,ハ　発音補整装置
820100387,ニ　発音補助装置
820100388,ホ　ホッツ床
820100390,妊娠中（加圧根管充填処置）
820100392,非該当患者（療養病棟入院基本料）
820100393,一　吐血、喀血又は重篤な脱水で全身状態不良の状態（救急医療管理加算１）
820100395,二　意識障害又は昏睡（救急医療管理加算１）：ＪＣＳ１
820100396,二　意識障害又は昏睡（救急医療管理加算１）：ＪＣＳ２
820100397,二　意識障害又は昏睡（救急医療管理加算１）：ＪＣＳ３
820100398,二　意識障害又は昏睡（救急医療管理加算１）：ＪＣＳ１０
820100399,二　意識障害又は昏睡（救急医療管理加算１）：ＪＣＳ２０
820100400,二　意識障害又は昏睡（救急医療管理加算１）：ＪＣＳ３０
820100401,二　意識障害又は昏睡（救急医療管理加算１）：ＪＣＳ１００
820100402,二　意識障害又は昏睡（救急医療管理加算１）：ＪＣＳ２００
820100403,二　意識障害又は昏睡（救急医療管理加算１）：ＪＣＳ３００
820100404,四　心不全で重篤な状態（救急医療管理加算１）：ＮＹＨＡ１
820100405,四　心不全で重篤な状態（救急医療管理加算１）：ＮＹＨＡ２
820100406,四　心不全で重篤な状態（救急医療管理加算１）：ＮＹＨＡ３
820100407,四　心不全で重篤な状態（救急医療管理加算１）：ＮＹＨＡ４
820100408,三　呼吸不全で重篤な状態（救急医療管理加算１）：Ｐ／Ｆ比３００以上４００未満（酸素投与前）
820100409,三　呼吸不全で重篤な状態（救急医療管理加算１）：Ｐ／Ｆ比２００以上３００未満（酸素投与前）
820100410,三　呼吸不全で重篤な状態（救急医療管理加算１）：Ｐ／Ｆ比２００未満（酸素投与前）
820100411,五　急性薬物中毒（救急医療管理加算１）
820100412,六　ショック（救急医療管理加算１）：平均血圧７０ｍｍＨｇ以上
820100413,六　ショック（救急医療管理加算１）：平均血圧７０ｍｍＨｇ未満
820100414,六　ショック（救急医療管理加算１）：昇圧剤利用なし
820100415,六　ショック（救急医療管理加算１）：昇圧剤利用あり
820100416,八　広範囲熱傷、顔面熱傷又は気道熱傷（救急医療管理加算１）：Ｂｕｒｎ　Ｉｎｄｅｘ　９以上
820100417,八　広範囲熱傷、顔面熱傷又は気道熱傷（救急医療管理加算１）：Ｂｕｒｎ　Ｉｎｄｅｘ　４以上９未満
820100418,八　広範囲熱傷、顔面熱傷又は気道熱傷（救急医療管理加算１）：Ｂｕｒｎ　Ｉｎｄｅｘ　１以上４未満
820100419,八　広範囲熱傷、顔面熱傷又は気道熱傷（救急医療管理加算１）：気道熱傷なし
820100420,八　広範囲熱傷、顔面熱傷又は気道熱傷（救急医療管理加算１）：気道熱傷あり
820100421,九　外傷、破傷風等で重篤な状態（救急医療管理加算１）
820100422,一　吐血、喀血又は重篤な脱水で全身状態不良の状態（救急医療管理加算２）
820100423,二　意識障害又は昏睡（救急医療管理加算２）：ＪＣＳ１
820100424,二　意識障害又は昏睡（救急医療管理加算２）：ＪＣＳ２
820100425,二　意識障害又は昏睡（救急医療管理加算２）：ＪＣＳ３
820100426,二　意識障害又は昏睡（救急医療管理加算２）：ＪＣＳ１０
820100427,二　意識障害又は昏睡（救急医療管理加算２）：ＪＣＳ２０
820100428,二　意識障害又は昏睡（救急医療管理加算２）：ＪＣＳ３０
820100429,二　意識障害又は昏睡（救急医療管理加算２）：ＪＣＳ１００
820100430,二　意識障害又は昏睡（救急医療管理加算２）：ＪＣＳ２００
820100431,二　意識障害又は昏睡（救急医療管理加算２）：ＪＣＳ３００
820100432,四　心不全で重篤な状態（救急医療管理加算２）：ＮＹＨＡ１
820100433,四　心不全で重篤な状態（救急医療管理加算２）：ＮＹＨＡ２
820100434,四　心不全で重篤な状態（救急医療管理加算２）：ＮＹＨＡ３
820100435,四　心不全で重篤な状態（救急医療管理加算２）：ＮＹＨＡ４
820100436,三　呼吸不全で重篤な状態（救急医療管理加算２）：Ｐ／Ｆ比４００以上（酸素投与前）
820100437,三　呼吸不全で重篤な状態（救急医療管理加算２）：Ｐ／Ｆ比３００以上４００未満（酸素投与前）
820100438,三　呼吸不全で重篤な状態（救急医療管理加算２）：Ｐ／Ｆ比２００以上３００未満（酸素投与前）
820100439,三　呼吸不全で重篤な状態（救急医療管理加算２）：Ｐ／Ｆ比２００未満（酸素投与前）
820100440,五　急性薬物中毒（救急医療管理加算２）
